image_path,source,category,organ
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1026.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1027.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1028.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1029.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs103.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1030.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1031.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1032.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1033.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1034.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1035.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1036.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1037.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1038.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1039.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs104.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1040.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1041.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1042.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1043.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1044.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1045.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1046.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1047.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1048.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1049.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs105.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1050.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1051.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1052.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1053.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1054.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1055.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1056.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1057.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1058.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1059.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs106.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1060.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1061.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1062.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1063.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1064.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1065.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1066.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1067.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1068.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1069.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs107.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1070.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1071.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1072.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1073.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1074.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1075.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1076.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1077.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1078.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1079.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs108.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1080.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1081.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1082.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1083.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1084.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1085.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1086.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1087.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1088.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1089.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs109.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1090.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1091.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1092.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1093.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1094.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1095.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1096.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1097.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1098.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1099.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs11.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1100.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1101.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1102.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1103.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1104.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1105.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1106.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1107.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1108.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1109.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs111.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1110.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1111.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1112.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1113.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1114.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1115.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1116.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1117.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1118.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1119.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs112.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1120.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1121.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1122.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1123.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1124.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1125.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1126.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1127.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1128.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1129.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs113.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1130.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1131.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1132.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1133.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1134.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1135.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1136.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1137.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1138.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1139.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs114.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1140.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1141.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1142.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1143.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1144.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1145.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1146.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1147.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1148.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1149.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs115.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1150.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1151.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1152.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1153.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1154.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1155.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1156.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1157.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1158.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1159.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs116.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1160.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1161.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1162.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1163.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1164.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1165.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1166.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1167.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1168.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1169.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs117.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1170.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1171.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1172.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1173.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1174.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1175.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1176.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1177.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1178.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1179.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs118.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1180.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1181.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1182.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1183.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1184.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1185.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1186.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1187.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1188.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1189.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs119.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1190.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1191.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1192.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1193.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1194.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1195.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1196.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1197.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1198.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs1199.jpg,PlantVillage,Bacterial_spot,leaf
..\AgriGenAI_Dataset\PlantVillage\images\Bacterial_spot\Bs12.jpg,PlantVillage,Bacterial_spot,leaf
